county,age_category,quarter,susceptible,new_infected,current_infected,new_severe,cumulative_severe
Alameda,0-17,Q1,3022960,7633,7762,4,19
Alameda,0-17,Q2,3631372,88749,90337,80,514
Alameda,0-17,Q3,2695771,49609,50853,56,1690
Alameda,0-17,Q4,210460,0,0,0,152
Alameda,18-49,Q1,6716996,17309,17931,56,277
Alameda,18-49,Q2,8203573,204636,213987,1046,6412
Alameda,18-49,Q3,5910824,103278,110456,996,24858
Alameda,18-49,Q4,429146,0,0,0,2099
Alameda,50-64,Q1,2787395,7014,7859,106,421
Alameda,50-64,Q2,3540161,88075,101616,2214,13548
Alameda,50-64,Q3,2496339,42980,53011,2124,52599
Alameda,50-64,Q4,171027,0,0,0,4204
Alameda,65+,Q1,2505633,6379,7757,280,1076
Alameda,65+,Q2,3104616,78866,101066,4772,29301
Alameda,65+,Q3,2168201,36265,52886,4636,112627
Alameda,65+,Q4,158669,0,0,0,9619
Alpine,0-17,Q1,1405,6,6,0,0
Alpine,0-17,Q2,1632,56,57,0,0
Alpine,0-17,Q3,1115,16,17,0,0
Alpine,0-17,Q4,64,0,0,0,0
Alpine,18-49,Q1,3318,7,7,0,0
Alpine,18-49,Q2,4050,107,109,0,0
Alpine,18-49,Q3,2752,55,59,0,0
Alpine,18-49,Q4,264,0,0,0,0
Alpine,50-64,Q1,2378,2,3,0,0
Alpine,50-64,Q2,2768,81,93,1,1
Alpine,50-64,Q3,2021,33,42,3,47
Alpine,50-64,Q4,210,0,0,0,7
Alpine,65+,Q1,3079,5,6,1,2
Alpine,65+,Q2,3839,77,98,5,34
Alpine,65+,Q3,3058,51,68,1,86
Alpine,65+,Q4,127,0,0,0,8
Amador,0-17,Q1,50295,139,139,0,0
Amador,0-17,Q2,62306,1565,1598,2,11
Amador,0-17,Q3,43989,711,725,0,26
Amador,0-17,Q4,3245,0,0,0,2
Amador,18-49,Q1,121140,323,338,0,0
Amador,18-49,Q2,139497,3467,3636,18,98
Amador,18-49,Q3,104215,1894,2003,26,502
Amador,18-49,Q4,7856,0,0,0,41
Amador,50-64,Q1,69672,171,187,2,11
Amador,50-64,Q2,84447,2024,2361,61,374
Amador,50-64,Q3,63451,1064,1324,48,1367
Amador,50-64,Q4,4666,0,0,0,113
Amador,65+,Q1,98936,228,282,11,34
Amador,65+,Q2,124702,2857,3663,181,1065
Amador,65+,Q3,96419,1877,2711,220,4990
Amador,65+,Q4,6583,0,0,0,410
Butte,0-17,Q1,380426,786,801,1,4
Butte,0-17,Q2,525005,12124,12357,8,57
Butte,0-17,Q3,373679,6881,7063,13,253
Butte,0-17,Q4,25712,0,0,0,20
Butte,18-49,Q1,927735,2405,2482,11,58
Butte,18-49,Q2,1152960,29840,31254,177,1153
Butte,18-49,Q3,754199,12287,13158,120,3457
Butte,18-49,Q4,79813,0,0,0,432
Butte,50-64,Q1,295084,719,811,8,30
Butte,50-64,Q2,371672,9483,10871,238,1458
Butte,50-64,Q3,247452,4221,5183,208,5176
Butte,50-64,Q4,26123,0,0,0,616
Butte,65+,Q1,405143,1041,1268,47,189
Butte,65+,Q2,502063,12912,16509,743,4562
Butte,65+,Q3,345741,5918,8598,725,17516
Butte,65+,Q4,26470,0,0,0,1566
Calaveras,0-17,Q1,62795,147,149,0,0
Calaveras,0-17,Q2,77906,2004,2044,2,10
Calaveras,0-17,Q3,53599,931,955,5,80
Calaveras,0-17,Q4,3934,0,0,0,7
Calaveras,18-49,Q1,119059,328,339,3,10
Calaveras,18-49,Q2,143755,3446,3615,21,151
Calaveras,18-49,Q3,107199,1974,2115,19,533
Calaveras,18-49,Q4,7780,0,0,0,44
Calaveras,50-64,Q1,76955,183,195,4,18
Calaveras,50-64,Q2,101760,2439,2781,55,341
Calaveras,50-64,Q3,72687,1291,1563,56,1396
Calaveras,50-64,Q4,5568,0,0,0,118
Calaveras,65+,Q1,130435,339,404,10,44
Calaveras,65+,Q2,163903,4078,5169,233,1390
Calaveras,65+,Q3,113766,1873,2755,236,5576
Calaveras,65+,Q4,8432,0,0,0,479
Colusa,0-17,Q1,52141,130,132,0,0
Colusa,0-17,Q2,63242,1602,1631,1,6
Colusa,0-17,Q3,45815,811,826,1,20
Colusa,0-17,Q4,3313,0,0,0,2
Colusa,18-49,Q1,83627,241,250,0,0
Colusa,18-49,Q2,102759,2648,2748,9,48
Colusa,18-49,Q3,71396,1210,1323,20,325
Colusa,18-49,Q4,6132,0,0,0,29
Colusa,50-64,Q1,33880,87,103,4,15
