county,age_category,quarter,susceptible,new_infected,current_infected,new_severe,cumulative_severe,flu_incidence,severe_incidence
Alameda,0-17,Q1,3022960,7633,7762,4,19,0.25250086008415595,1.3232063937332946e-4
Alameda,0-17,Q2,3631372,88749,90337,80,514,2.4439523133405228,0.002203024091169949
Alameda,0-17,Q3,2695771,49609,50853,56,1690,1.8402527514391986,0.0020773277848897403
Alameda,0-17,Q4,210460,0,0,0,152,0,0
Alameda,18-49,Q1,6716996,17309,17931,56,277,0.2576895981477434,8.337060197743158e-4
Alameda,18-49,Q2,8203573,204636,213987,1046,6412,2.494474054171274,0.01275054174565156
Alameda,18-49,Q3,5910824,103278,110456,996,24858,1.7472690778815272,0.01685044251021516
Alameda,18-49,Q4,429146,0,0,0,2099,0,0
Alameda,50-64,Q1,2787395,7014,7859,106,421,0.25163279693046736,0.0038028338287182115
Alameda,50-64,Q2,3540161,88075,101616,2214,13548,2.4878812008832365,0.06253952856946338
Alameda,50-64,Q3,2496339,42980,53011,2124,52599,1.7217212886551065,0.08508459788514301
Alameda,50-64,Q4,171027,0,0,0,4204,0,0
Alameda,65+,Q1,2505633,6379,7757,280,1076,0.2545863660001285,0.011174820893562625
Alameda,65+,Q2,3104616,78866,101066,4772,29301,2.5402819543544193,0.15370660977074138
Alameda,65+,Q3,2168201,36265,52886,4636,112627,1.6725847834218321,0.21381781486126053
Alameda,65+,Q4,158669,0,0,0,9619,0,0
Alpine,0-17,Q1,1405,6,6,0,0,0.42704626334519574,0
Alpine,0-17,Q2,1632,56,57,0,0,3.431372549019608,0
Alpine,0-17,Q3,1115,16,17,0,0,1.4349775784753362,0
Alpine,0-17,Q4,64,0,0,0,0,0,0
Alpine,18-49,Q1,3318,7,7,0,0,0.21097046413502107,0
Alpine,18-49,Q2,4050,107,109,0,0,2.6419753086419755,0
Alpine,18-49,Q3,2752,55,59,0,0,1.998546511627907,0
Alpine,18-49,Q4,264,0,0,0,0,0,0
Alpine,50-64,Q1,2378,2,3,0,0,0.08410428931875526,0
Alpine,50-64,Q2,2768,81,93,1,1,2.926300578034682,0.0361271676300578
Alpine,50-64,Q3,2021,33,42,3,47,1.6328550222662048,0.14844136566056407
Alpine,50-64,Q4,210,0,0,0,7,0,0
Alpine,65+,Q1,3079,5,6,1,2,0.16239038648911985,0.03247807729782397
Alpine,65+,Q2,3839,77,98,5,34,2.005730659025788,0.13024225058609012
Alpine,65+,Q3,3058,51,68,1,86,1.6677567037279268,0.032701111837802485
Alpine,65+,Q4,127,0,0,0,8,0,0
Amador,0-17,Q1,50295,139,139,0,0,0.27636942041952484,0
Amador,0-17,Q2,62306,1565,1598,2,11,2.511796616698231,0.0032099637274098807
Amador,0-17,Q3,43989,711,725,0,26,1.6163131692013912,0
Amador,0-17,Q4,3245,0,0,0,2,0,0
Amador,18-49,Q1,121140,323,338,0,0,0.2666336470199769,0
Amador,18-49,Q2,139497,3467,3636,18,98,2.4853581080596716,0.012903503301146263
Amador,18-49,Q3,104215,1894,2003,26,502,1.8173967279182457,0.024948423931295878
Amador,18-49,Q4,7856,0,0,0,41,0,0
Amador,50-64,Q1,69672,171,187,2,11,0.24543575611436444,0.0028705936387644964
Amador,50-64,Q2,84447,2024,2361,61,374,2.3967695714471797,0.07223465605646145
Amador,50-64,Q3,63451,1064,1324,48,1367,1.6768845250665867,0.07564892594285355
Amador,50-64,Q4,4666,0,0,0,113,0,0
Amador,65+,Q1,98936,228,282,11,34,0.2304520093798011,0.011118298698148297
Amador,65+,Q2,124702,2857,3663,181,1065,2.291061891549454,0.14514602813106445
Amador,65+,Q3,96419,1877,2711,220,4990,1.946711747684585,0.22817079621236477
Amador,65+,Q4,6583,0,0,0,410,0,0
Butte,0-17,Q1,380426,786,801,1,4,0.20661048403631718,2.628632112421338e-4
Butte,0-17,Q2,525005,12124,12357,8,57,2.309311339892001,0.0015237950114760813
Butte,0-17,Q3,373679,6881,7063,13,253,1.8414200423358018,0.0034789217483455048
Butte,0-17,Q4,25712,0,0,0,20,0,0
Butte,18-49,Q1,927735,2405,2482,11,58,0.2592335095690041,0.0011856834117501226
Butte,18-49,Q2,1152960,29840,31254,177,1153,2.58812101026922,0.015351790174854288
Butte,18-49,Q3,754199,12287,13158,120,3457,1.6291456233699593,0.0159109200622117
Butte,18-49,Q4,79813,0,0,0,432,0,0
Butte,50-64,Q1,295084,719,811,8,30,0.24365943256835343,0.002711092434696561
Butte,50-64,Q2,371672,9483,10871,238,1458,2.5514432079898404,0.06403495555220733
Butte,50-64,Q3,247452,4221,5183,208,5176,1.7057853644343146,0.08405670594701195
Butte,50-64,Q4,26123,0,0,0,616,0,0
Butte,65+,Q1,405143,1041,1268,47,189,0.2569463127833876,0.011600842171776385
Butte,65+,Q2,502063,12912,16509,743,4562,2.5717887994136195,0.14798939575312262
Butte,65+,Q3,345741,5918,8598,725,17516,1.7116859151792816,0.20969454013264263
Butte,65+,Q4,26470,0,0,0,1566,0,0
Calaveras,0-17,Q1,62795,147,149,0,0,0.23409507126363563,0
Calaveras,0-17,Q2,77906,2004,2044,2,10,2.5723307575796475,0.0025671963648499475
Calaveras,0-17,Q3,53599,931,955,5,80,1.7369727047146404,0.009328532248735984
Calaveras,0-17,Q4,3934,0,0,0,7,0,0
Calaveras,18-49,Q1,119059,328,339,3,10,0.27549366280583576,0.0025197591110289854
Calaveras,18-49,Q2,143755,3446,3615,21,151,2.397134012729992,0.014608187541302912
Calaveras,18-49,Q3,107199,1974,2115,19,533,1.8414350880138808,0.017724045933264303
Calaveras,18-49,Q4,7780,0,0,0,44,0,0
Calaveras,50-64,Q1,76955,183,195,4,18,0.23780131245533104,0.005197842895198492
Calaveras,50-64,Q2,101760,2439,2781,55,341,2.396816037735849,0.05404874213836478
Calaveras,50-64,Q3,72687,1291,1563,56,1396,1.7761085200930016,0.07704266237428976
Calaveras,50-64,Q4,5568,0,0,0,118,0,0
Calaveras,65+,Q1,130435,339,404,10,44,0.2598995668340553,0.007666653888910186
Calaveras,65+,Q2,163903,4078,5169,233,1390,2.488056960519332,0.14215725154512118
Calaveras,65+,Q3,113766,1873,2755,236,5576,1.6463618304238525,0.20744334862788533
Calaveras,65+,Q4,8432,0,0,0,479,0,0
Colusa,0-17,Q1,52141,130,132,0,0,0.24932394852419404,0
Colusa,0-17,Q2,63242,1602,1631,1,6,2.533126719585086,0.0015812276651592297
Colusa,0-17,Q3,45815,811,826,1,20,1.7701626104987451,0.0021826912583215105
Colusa,0-17,Q4,3313,0,0,0,2,0,0
Colusa,18-49,Q1,83627,241,250,0,0,0.2881844380403458,0
Colusa,18-49,Q2,102759,2648,2748,9,48,2.576903239618914,0.008758356932239511
Colusa,18-49,Q3,71396,1210,1323,20,325,1.6947728164042801,0.02801277382486414
Colusa,18-49,Q4,6132,0,0,0,29,0,0
Colusa,50-64,Q1,33880,87,103,4,15,0.256788665879575,0.011806375442739079
Colusa,50-64,Q2,40899,986,1141,26,187,2.410816890388518,0.06357123646054916
Colusa,50-64,Q3,30911,526,674,29,674,1.7016596033774385,0.09381773478696905
Colusa,50-64,Q4,2215,0,0,0,61,0,0
Colusa,65+,Q1,34574,69,75,3,12,0.19957193266616535,0.00867704055070284
Colusa,65+,Q2,43515,1126,1424,58,355,2.5876134666207053,0.13328737217051592
Colusa,65+,Q3,29524,462,686,66,1424,1.564828614008942,0.22354694485842028
Colusa,65+,Q4,2215,0,0,0,127,0,0
Contra Costa,0-17,Q1,2074133,4997,5059,1,6,0.24091994100667605,4.821291595090575e-5
Contra Costa,0-17,Q2,2688190,67564,68752,56,349,2.5133640107284085,0.002083186084316957
Contra Costa,0-17,Q3,1812082,30899,31687,44,1162,1.7051656602736522,0.00242814618764493
Contra Costa,0-17,Q4,156454,0,0,0,125,0,0
Contra Costa,18-49,Q1,4109083,10287,10642,29,126,0.25034782699692365,7.057535708088641e-4
Contra Costa,18-49,Q2,5196965,129286,135281,669,4054,2.487721198815078,0.01287289793177364
Contra Costa,18-49,Q3,3577725,62391,66637,635,15328,1.7438735509297107,0.017748709025987186
Contra Costa,18-49,Q4,338832,0,0,0,1697,0,0
Contra Costa,50-64,Q1,2077958,4945,5544,86,322,0.23797401102428445,0.00413867845259625
Contra Costa,50-64,Q2,2628062,63058,72805,1540,9166,2.399410668393668,0.05859831312959893
Contra Costa,50-64,Q3,1885257,35405,43141,1578,37134,1.877993292161228,0.08370211594493483
Contra Costa,50-64,Q4,187674,0,0,0,4384,0,0
Contra Costa,65+,Q1,1988483,5072,6189,193,806,0.2550688137640604,0.009705891375485734
Contra Costa,65+,Q2,2446344,61664,78760,3619,21584,2.5206594003132836,0.1479350410244839
Contra Costa,65+,Q3,1734233,29292,42527,3546,85763,1.6890463968797735,0.20447079487012415
Contra Costa,65+,Q4,127071,0,0,0,7358,0,0
Del Norte,0-17,Q1,48104,125,128,0,0,0.25985365042408115,0
Del Norte,0-17,Q2,60581,1554,1579,4,26,2.565160693946947,0.006602730228949671
Del Norte,0-17,Q3,41431,681,696,0,52,1.6436967488112766,0
Del Norte,0-17,Q4,3079,0,0,0,4,0,0
Del Norte,18-49,Q1,101049,267,279,0,0,0.2642282457025799,0
Del Norte,18-49,Q2,124817,3266,3413,16,101,2.6166307474142148,0.012818766674411338
Del Norte,18-49,Q3,84117,1429,1526,14,342,1.6988242566900864,0.0166434846701618
Del Norte,18-49,Q4,8019,0,0,0,38,0,0
Del Norte,50-64,Q1,40118,90,100,2,13,0.22433820230320553,0.004985293384515679
Del Norte,50-64,Q2,53773,1331,1529,35,220,2.475219905900731,0.06508842727763003
Del Norte,50-64,Q3,36233,581,697,22,690,1.6035106118731541,0.06071812988159965
Del Norte,50-64,Q4,2650,0,0,0,56,0,0
Del Norte,65+,Q1,47982,107,136,5,21,0.2230002917760827,0.01042057438205994
Del Norte,65+,Q2,59625,1506,1935,94,576,2.5257861635220125,0.15765199161425575
Del Norte,65+,Q3,41266,712,1044,67,1974,1.7253913633499733,0.1623612659332138
Del Norte,65+,Q4,3173,0,0,0,173,0,0
El Dorado,0-17,Q1,311059,732,748,1,1,0.23532513124519785,3.2148241973387683e-4
El Dorado,0-17,Q2,380253,9359,9529,15,88,2.4612560584663368,0.003944742053317134
El Dorado,0-17,Q3,274035,4986,5095,2,232,1.819475614428814,7.298337803565238e-4
El Dorado,0-17,Q4,22668,0,0,0,20,0,0
El Dorado,18-49,Q1,599862,1449,1501,7,35,0.241555557778289,0.0011669350617308648
El Dorado,18-49,Q2,766674,17867,18696,83,537,2.3304559695515956,0.010825983403637008
El Dorado,18-49,Q3,572569,11131,11849,101,2288,1.9440451718482836,0.01763979537837361
El Dorado,18-49,Q4,43646,0,0,0,211,0,0
El Dorado,50-64,Q1,343876,864,942,14,54,0.2512533587688585,0.004071234980050948
El Dorado,50-64,Q2,416911,10279,11912,277,1711,2.4655142224599493,0.06644103897474521
El Dorado,50-64,Q3,307571,5498,6750,282,6801,1.7875547434576082,0.09168614726355866
El Dorado,50-64,Q4,23356,0,0,0,608,0,0
El Dorado,65+,Q1,412606,1025,1241,43,195,0.24842101181272208,0.01042156439799712
El Dorado,65+,Q2,486838,11404,14708,718,4212,2.3424629959041816,0.14748232471581924
El Dorado,65+,Q3,382834,7508,10673,825,19078,1.9611633240516777,0.21549810100461295
El Dorado,65+,Q4,27267,0,0,1,1643,0,0.0036674368284006307
Fresno,0-17,Q1,2414369,5860,5938,6,16,0.24271352059275114,2.4851213712568374e-4
Fresno,0-17,Q2,3164872,78970,80408,57,364,2.4952035974914626,0.001801020704786797
Fresno,0-17,Q3,2142206,36244,37216,55,1375,1.6919007789166867,0.0025674468281761884
Fresno,0-17,Q4,165800,0,0,0,123,0,0
Fresno,18-49,Q1,4041257,10378,10792,34,137,0.2568012873222366,8.413223905334405e-4
Fresno,18-49,Q2,4981442,127433,133320,696,4295,2.5581548475321,0.013971857947959646
Fresno,18-49,Q3,3447958,56272,60241,560,15134,1.6320384413035194,0.016241497141206478
Fresno,18-49,Q4,257981,0,0,0,1301,0,0
Fresno,50-64,Q1,1416284,3554,3977,59,223,0.2509383711176572,0.0041658311468603755
Fresno,50-64,Q2,1737810,43832,50542,1064,6383,2.522255022125549,0.06122648620965468
Fresno,50-64,Q3,1229918,21429,26436,1020,25114,1.7423112760362884,0.0829323580921655
Fresno,50-64,Q4,92287,0,0,0,2208,0,0
Fresno,65+,Q1,1270407,3241,3932,117,442,0.25511509303711327,0.009209646987146639
Fresno,65+,Q2,1520295,36896,47851,2296,13328,2.426897411357664,0.15102332113175404
Fresno,65+,Q3,1145725,20827,29693,2398,57780,1.8178009557267232,0.20929978834362523
Fresno,65+,Q4,67142,0,0,1,3949,0,0.0014893807154984957
Glenn,0-17,Q1,63098,157,158,0,0,0.24881929696662333,0
Glenn,0-17,Q2,80455,1983,2020,1,3,2.4647318376732334,0.0012429308308992604
Glenn,0-17,Q3,57246,923,943,1,22,1.6123397267931383,0.0017468469412710056
Glenn,0-17,Q4,4267,0,0,0,2,0,0
Glenn,18-49,Q1,107410,294,307,2,4,0.2737175309561493,0.0018620240201098592
Glenn,18-49,Q2,129420,3216,3352,15,124,2.4849327770050995,0.01159017153453871
Glenn,18-49,Q3,93836,1730,1843,14,371,1.8436420989812012,0.014919647043778506
Glenn,18-49,Q4,8534,0,0,0,37,0,0
Glenn,50-64,Q1,40516,94,107,1,1,0.2320071083028927,0.002468160726626518
Glenn,50-64,Q2,55239,1417,1641,30,168,2.5652166042107933,0.05430945527616358
Glenn,50-64,Q3,35671,594,746,34,719,1.665218244512349,0.09531552241316475
Glenn,50-64,Q4,3509,0,0,0,91,0,0
Glenn,65+,Q1,45479,105,123,5,21,0.23087578882561183,0.010994085182171992
Glenn,65+,Q2,57522,1446,1857,89,568,2.513820798998644,0.15472341017349883
Glenn,65+,Q3,39663,713,1052,102,2319,1.797645160477019,0.25716662884804475
Glenn,65+,Q4,2370,0,0,0,153,0,0
Humboldt,0-17,Q1,240256,609,618,3,21,0.25347962173681404,0.0012486680873734681
Humboldt,0-17,Q2,306585,7643,7781,3,51,2.492946491185153,9.785214540828809e-4
Humboldt,0-17,Q3,210525,3585,3672,12,207,1.702885643035269,0.0057000356252226575
Humboldt,0-17,Q4,15562,0,0,0,18,0,0
Humboldt,18-49,Q1,521059,1328,1382,5,24,0.254865571845031,9.595842313442432e-4
Humboldt,18-49,Q2,596039,15178,15830,82,532,2.546477663374376,0.013757489023369276
Humboldt,18-49,Q3,443623,8045,8592,78,1954,1.8134767584187477,0.017582496849802648
Humboldt,18-49,Q4,32446,0,0,0,168,0,0
Humboldt,50-64,Q1,202559,541,604,7,28,0.267082677145918,0.0034557832532743546
Humboldt,50-64,Q2,244022,6047,6979,159,945,2.478055257312865,0.06515805951922368
Humboldt,50-64,Q3,181172,3322,4084,153,3766,1.833616673658181,0.08445013578257127
Humboldt,50-64,Q4,13110,0,0,0,324,0,0
Humboldt,65+,Q1,246279,658,813,26,106,0.26717665736826934,0.01055713235801672
Humboldt,65+,Q2,306284,7895,10178,498,3016,2.5776730093638585,0.16259419362421804
Humboldt,65+,Q3,210151,3527,5269,500,11773,1.678317019666811,0.23792415929498315
Humboldt,65+,Q4,15790,0,0,0,1044,0,0
Imperial,0-17,Q1,474211,1258,1277,0,0,0.2652827538796021,0
Imperial,0-17,Q2,594107,14841,15099,10,55,2.498034865773337,0.0016831984810816904
Imperial,0-17,Q3,411537,6940,7142,8,226,1.6863611291329819,0.0019439321373290858
Imperial,0-17,Q4,32130,0,0,0,19,0,0
Imperial,18-49,Q1,724875,1862,1942,7,16,0.256871874461114,9.656837385756165e-4
Imperial,18-49,Q2,878606,21807,22838,114,605,2.481999895288673,0.012975099191218817
Imperial,18-49,Q3,647158,11718,12492,116,2770,1.8106861075656948,0.017924525386381687
Imperial,18-49,Q4,48619,0,0,0,248,0,0
Imperial,50-64,Q1,265970,708,788,13,50,0.26619543557544084,0.004887769297289168
Imperial,50-64,Q2,314054,7484,8656,184,1140,2.3830296700567417,0.05858865035949231
Imperial,50-64,Q3,244322,4797,5835,220,5046,1.963392572097478,0.09004510441139152
Imperial,50-64,Q4,16896,0,0,0,417,0,0
Imperial,65+,Q1,243872,596,719,21,86,0.24439049993439182,0.008611074662117833
Imperial,65+,Q2,315653,7707,9927,482,2910,2.4416051803721173,0.15269932489157398
Imperial,65+,Q3,221628,3906,5595,451,11169,1.7624126915371703,0.20349414333928925
Imperial,65+,Q4,16222,0,0,0,968,0,0
Inyo,0-17,Q1,32682,75,75,0,0,0.22948411969891683,0
Inyo,0-17,Q2,40153,993,1017,0,0,2.473040619629916,0
Inyo,0-17,Q3,28809,505,522,2,22,1.7529244333368044,0.006942274983512097
Inyo,0-17,Q4,2088,0,0,0,2,0,0
Inyo,18-49,Q1,50370,124,129,0,0,0.24617828072265238,0
Inyo,18-49,Q2,61525,1575,1646,7,31,2.559934985778139,0.011377488825680617
Inyo,18-49,Q3,43133,776,833,13,210,1.7990865462638814,0.030139336470915542
Inyo,18-49,Q4,4084,0,0,0,25,0,0
Inyo,50-64,Q1,35073,80,88,3,13,0.22809568614033585,0.008553588230262595
Inyo,50-64,Q2,43160,1117,1286,29,195,2.588044485634847,0.06719184430027804
Inyo,50-64,Q3,30159,512,653,34,749,1.6976690208561291,0.11273583341622734
Inyo,50-64,Q4,2219,0,0,0,66,0,0
Inyo,65+,Q1,43713,110,131,4,16,0.251641388145403,0.009150595932560108
Inyo,65+,Q2,54684,1378,1749,92,565,2.5199327042645017,0.1682393387462512
Inyo,65+,Q3,36721,648,937,77,1980,1.7646578252226246,0.20968927861441683
Inyo,65+,Q4,3744,0,0,0,253,0,0
Kern,0-17,Q1,2205184,5276,5358,5,26,0.23925441142326445,2.2673844903645226e-4
