county,quarter,age_category,susceptible.x,new_infected,current_infected,new_severe,cumulative_severe,flu_incidence,severe_incidence,susceptible.y,cum_fully_vax,total_partial_vax,cum_atleast_one_dose,cum_unvax
Alameda,Q1,0-17,3022960,7633,7762,4,19,0.25250086008415595,1.3232063937332946e-4,340355,210053,21537,231649,108706
Alameda,Q1,18-49,6716996,17309,17931,56,277,0.2576895981477434,8.337060197743158e-4,754988,669131,59921,729067,25921
Alameda,Q1,50-64,2787395,7014,7859,106,421,0.25163279693046736,0.00380283382871821,317128,283420,19324,302744,14384
Alameda,Q1,65+,2505633,6379,7757,280,1076,0.2545863660001285,0.01117482089356262,265863,245773,17290,263063,2800
Alameda,Q2,0-17,3631372,88749,90337,80,514,2.4439523133405228,0.00220302409116994,340355,213845,21291,235199,105156
Alameda,Q2,18-49,8203573,204636,213987,1046,6412,2.494474054171274,0.01275054174565156,754988,669812,61705,731531,23457
Alameda,Q2,50-64,3540161,88075,101616,2214,13548,2.4878812008832365,0.06253952856946338,317128,283585,20019,303604,13524
Alameda,Q2,65+,3104616,78866,101066,4772,29301,2.5402819543544193,0.15370660977074138,265863,245867,17887,263754,2109
Alameda,Q3,0-17,2695771,49609,50853,56,1690,1.8402527514391984,0.00207732778488974,340355,214952,22328,237343,103012
Alameda,Q3,18-49,5910824,103278,110456,996,24858,1.7472690778815272,0.01685044251021516,754988,669899,62723,732636,22352
Alameda,Q3,50-64,2496339,42980,53011,2124,52599,1.7217212886551063,0.08508459788514301,317128,283606,20448,304054,13074
Alameda,Q3,65+,2168201,36265,52886,4636,112627,1.672584783421832,0.21381781486126053,265863,245880,18362,264242,1621
Alameda,Q4,0-17,210460,0,0,0,152,0,0,340355,215359,23115,238537,101818
Alameda,Q4,18-49,429146,0,0,0,2099,0,0,754988,669899,63264,733177,21811
Alameda,Q4,50-64,171027,0,0,0,4204,0,0,317128,283607,20596,304203,12925
Alameda,Q4,65+,158669,0,0,0,9619,0,0,265863,245881,18557,264438,1425
Alpine,Q1,18-49,3318,7,7,0,0,0.21097046413502107,0,353,212,30,242,111
Alpine,Q1,50-64,2378,2,3,0,0,0.08410428931875526,0,287,158,17,175,112
Alpine,Q1,65+,3079,5,6,1,2,0.16239038648911985,0.03247807729782397,327,207,18,225,102
Alpine,Q2,18-49,4050,107,109,0,0,2.6419753086419755,0,353,212,30,242,111
Alpine,Q2,50-64,2768,81,93,1,1,2.926300578034682,0.0361271676300578,287,158,17,175,112
Alpine,Q2,65+,3839,77,98,5,34,2.005730659025788,0.13024225058609012,327,207,19,226,101
Alpine,Q3,18-49,2752,55,59,0,0,1.998546511627907,0,353,212,30,242,111
Alpine,Q3,50-64,2021,33,42,3,47,1.6328550222662048,0.14844136566056407,287,158,17,175,112
Alpine,Q3,65+,3058,51,68,1,86,1.6677567037279268,0.03270111183780248,327,207,19,226,101
Alpine,Q4,18-49,264,0,0,0,0,0,0,353,212,30,242,111
Alpine,Q4,50-64,210,0,0,0,7,0,0,287,158,17,175,112
Alpine,Q4,65+,127,0,0,0,8,0,0,327,207,19,226,101
Amador,Q1,0-17,50295,139,139,0,0,0.27636942041952484,0,4046,1159,164,1323,2723
Amador,Q1,18-49,121140,323,338,0,0,0.2666336470199769,0,13320,5994,573,6567,6753
Amador,Q1,50-64,69672,171,187,2,11,0.24543575611436444,0.00287059363876449,7920,5562,410,5972,1948
Amador,Q1,65+,98936,228,282,11,34,0.2304520093798011,0.01111829869814829,11135,9380,664,10044,1091
Amador,Q2,0-17,62306,1565,1598,2,11,2.511796616698231,0.00320996372740988,4046,1162,162,1324,2722
Amador,Q2,18-49,139497,3467,3636,18,98,2.4853581080596716,0.01290350330114626,13320,6006,575,6581,6739
Amador,Q2,50-64,84447,2024,2361,61,374,2.3967695714471797,0.07223465605646145,7920,5564,413,5977,1943
Amador,Q2,65+,124702,2857,3663,181,1065,2.291061891549454,0.14514602813106445,11135,9380,681,10061,1074
Amador,Q3,0-17,43989,711,725,0,26,1.6163131692013912,0,4046,1162,167,1329,2717
Amador,Q3,18-49,104215,1894,2003,26,502,1.8173967279182457,0.02494842393129587,13320,6007,589,6596,6724
Amador,Q3,50-64,63451,1064,1324,48,1367,1.6768845250665867,0.07564892594285355,7920,5564,416,5980,1940
Amador,Q3,65+,96419,1877,2711,220,4990,1.946711747684585,0.22817079621236477,11135,9380,686,10066,1069
Amador,Q4,0-17,3245,0,0,0,2,0,0,4046,1162,168,1330,2716
Amador,Q4,18-49,7856,0,0,0,41,0,0,13320,6007,591,6598,6722
Amador,Q4,50-64,4666,0,0,0,113,0,0,7920,5564,417,5981,1939
Amador,Q4,65+,6583,0,0,0,410,0,0,11135,9380,691,10071,1064
Butte,Q1,0-17,380426,786,801,1,4,0.2066104840363172,2.628632112421338e-4,45972,9955,1135,11094,34878
Butte,Q1,18-49,927735,2405,2482,11,58,0.2592335095690041,0.00118568341175012,104011,50685,5024,55710,48301
Butte,Q1,50-64,295084,719,811,8,30,0.24365943256835343,0.00271109243469656,33746,25272,1944,27216,6530
Butte,Q1,65+,405143,1041,1268,47,189,0.2569463127833876,0.01160084217177638,43181,33045,2952,35997,7184
Butte,Q2,0-17,525005,12124,12357,8,57,2.309311339892001,0.00152379501147608,45972,10084,1087,11175,34797
Butte,Q2,18-49,1152960,29840,31254,177,1153,2.58812101026922,0.01535179017485428,104011,50764,5107,55872,48139
Butte,Q2,50-64,371672,9483,10871,238,1458,2.5514432079898404,0.06403495555220733,33746,25281,1966,27247,6499
Butte,Q2,65+,502063,12912,16509,743,4562,2.5717887994136195,0.14798939575312262,43181,33051,3057,36108,7073
Butte,Q3,0-17,373679,6881,7063,13,253,1.8414200423358016,0.0034789217483455,45972,10103,1100,11207,34765
Butte,Q3,18-49,754199,12287,13158,120,3457,1.6291456233699593,0.0159109200622117,104011,50775,5159,55935,48076
Butte,Q3,50-64,247452,4221,5183,208,5176,1.7057853644343146,0.08405670594701195,33746,25281,1978,27259,6487
Butte,Q3,65+,345741,5918,8598,725,17516,1.7116859151792816,0.20969454013264263,43181,33052,3097,36149,7032
Butte,Q4,0-17,25712,0,0,0,20,0,0,45972,10115,1106,11225,34747
Butte,Q4,18-49,79813,0,0,0,432,0,0,104011,50775,5195,55971,48040
Butte,Q4,50-64,26123,0,0,0,616,0,0,33746,25281,1981,27262,6484
Butte,Q4,65+,26470,0,0,0,1566,0,0,43181,33052,3110,36162,7019
Calaveras,Q1,0-17,62795,147,149,0,0,0.23409507126363563,0,5059,1225,168,1393,3666
Calaveras,Q1,18-49,119059,328,339,3,10,0.27549366280583576,0.00251975911102898,13612,6594,676,7270,6342
Calaveras,Q1,50-64,76955,183,195,4,18,0.23780131245533104,0.00519784289519849,9488,6429,436,6865,2623
Calaveras,Q1,65+,130435,339,404,10,44,0.2598995668340553,0.00766665388891018,14026,10360,649,11009,3017
Calaveras,Q2,0-17,77906,2004,2044,2,10,2.5723307575796475,0.00256719636484994,5059,1228,168,1396,3663
Calaveras,Q2,18-49,143755,3446,3615,21,151,2.397134012729992,0.01460818754130291,13612,6603,681,7284,6328
Calaveras,Q2,50-64,101760,2439,2781,55,341,2.396816037735849,0.05404874213836478,9488,6430,445,6875,2613
Calaveras,Q2,65+,163903,4078,5169,233,1390,2.488056960519332,0.14215725154512118,14026,10360,651,11011,3015
Calaveras,Q3,0-17,53599,931,955,5,80,1.7369727047146404,0.00932853224873598,5059,1228,169,1397,3662
