county,quarter,age_category,susceptible,cum_fully_vax,total_partial_vax,cum_atleast_one_dose,cum_unvax
Alameda,Q1,0-17,340355,210053,21537,231649,108706
Alameda,Q1,18-49,754988,669131,59921,729067,25921
Alameda,Q1,50-64,317128,283420,19324,302744,14384
Alameda,Q1,65+,265863,245773,17290,263063,2800
Alameda,Q2,0-17,340355,213845,21291,235199,105156
Alameda,Q2,18-49,754988,669812,61705,731531,23457
Alameda,Q2,50-64,317128,283585,20019,303604,13524
Alameda,Q2,65+,265863,245867,17887,263754,2109
Alameda,Q3,0-17,340355,214952,22328,237343,103012
Alameda,Q3,18-49,754988,669899,62723,732636,22352
Alameda,Q3,50-64,317128,283606,20448,304054,13074
Alameda,Q3,65+,265863,245880,18362,264242,1621
Alameda,Q4,0-17,340355,215359,23115,238537,101818
Alameda,Q4,18-49,754988,669899,63264,733177,21811
Alameda,Q4,50-64,317128,283607,20596,304203,12925
Alameda,Q4,65+,265863,245881,18557,264438,1425
Alpine,Q1,18-49,353,212,30,242,111
Alpine,Q1,50-64,287,158,17,175,112
Alpine,Q1,65+,327,207,18,225,102
Alpine,Q2,18-49,353,212,30,242,111
Alpine,Q2,50-64,287,158,17,175,112
Alpine,Q2,65+,327,207,19,226,101
Alpine,Q3,18-49,353,212,30,242,111
Alpine,Q3,50-64,287,158,17,175,112
Alpine,Q3,65+,327,207,19,226,101
Alpine,Q4,18-49,353,212,30,242,111
Alpine,Q4,50-64,287,158,17,175,112
Alpine,Q4,65+,327,207,19,226,101
Amador,Q1,0-17,4046,1159,164,1323,2723
Amador,Q1,18-49,13320,5994,573,6567,6753
Amador,Q1,50-64,7920,5562,410,5972,1948
Amador,Q1,65+,11135,9380,664,10044,1091
Amador,Q2,0-17,4046,1162,162,1324,2722
Amador,Q2,18-49,13320,6006,575,6581,6739
Amador,Q2,50-64,7920,5564,413,5977,1943
Amador,Q2,65+,11135,9380,681,10061,1074
Amador,Q3,0-17,4046,1162,167,1329,2717
Amador,Q3,18-49,13320,6007,589,6596,6724
Amador,Q3,50-64,7920,5564,416,5980,1940
Amador,Q3,65+,11135,9380,686,10066,1069
Amador,Q4,0-17,4046,1162,168,1330,2716
Amador,Q4,18-49,13320,6007,591,6598,6722
Amador,Q4,50-64,7920,5564,417,5981,1939
Amador,Q4,65+,11135,9380,691,10071,1064
Butte,Q1,0-17,45972,9955,1135,11094,34878
Butte,Q1,18-49,104011,50685,5024,55710,48301
Butte,Q1,50-64,33746,25272,1944,27216,6530
Butte,Q1,65+,43181,33045,2952,35997,7184
Butte,Q2,0-17,45972,10084,1087,11175,34797
Butte,Q2,18-49,104011,50764,5107,55872,48139
Butte,Q2,50-64,33746,25281,1966,27247,6499
Butte,Q2,65+,43181,33051,3057,36108,7073
Butte,Q3,0-17,45972,10103,1100,11207,34765
Butte,Q3,18-49,104011,50775,5159,55935,48076
Butte,Q3,50-64,33746,25281,1978,27259,6487
Butte,Q3,65+,43181,33052,3097,36149,7032
Butte,Q4,0-17,45972,10115,1106,11225,34747
Butte,Q4,18-49,104011,50775,5195,55971,48040
Butte,Q4,50-64,33746,25281,1981,27262,6484
Butte,Q4,65+,43181,33052,3110,36162,7019
Calaveras,Q1,0-17,5059,1225,168,1393,3666
Calaveras,Q1,18-49,13612,6594,676,7270,6342
Calaveras,Q1,50-64,9488,6429,436,6865,2623
Calaveras,Q1,65+,14026,10360,649,11009,3017
Calaveras,Q2,0-17,5059,1228,168,1396,3663
Calaveras,Q2,18-49,13612,6603,681,7284,6328
Calaveras,Q2,50-64,9488,6430,445,6875,2613
Calaveras,Q2,65+,14026,10360,651,11011,3015
Calaveras,Q3,0-17,5059,1228,169,1397,3662
Calaveras,Q3,18-49,13612,6608,692,7300,6312
Calaveras,Q3,50-64,9488,6430,446,6876,2612
Calaveras,Q3,65+,14026,10360,658,11018,3008
Calaveras,Q4,0-17,5059,1228,169,1397,3662
Calaveras,Q4,18-49,13612,6608,696,7304,6308
Calaveras,Q4,50-64,9488,6430,447,6877,2611
Calaveras,Q4,65+,14026,10360,658,11018,3008
Colusa,Q1,0-17,2265,980,121,1102,1163
Colusa,Q1,18-49,9455,6135,594,6729,2726
Colusa,Q1,50-64,3824,2982,246,3228,596
Colusa,Q1,65+,3626,2806,198,3004,622
Colusa,Q2,0-17,2265,980,123,1104,1161
Colusa,Q2,18-49,9455,6145,604,6749,2706
Colusa,Q2,50-64,3824,2982,253,3235,589
Colusa,Q2,65+,3626,2807,203,3010,616
Colusa,Q3,0-17,2265,980,125,1106,1159
Colusa,Q3,18-49,9455,6145,608,6753,2702
Colusa,Q3,50-64,3824,2982,253,3235,589
Colusa,Q3,65+,3626,2808,202,3010,616
Colusa,Q4,0-17,2265,980,126,1107,1158
Colusa,Q4,18-49,9455,6145,610,6755,2700
Colusa,Q4,50-64,3824,2982,253,3235,589
Colusa,Q4,65+,3626,2808,204,3012,614
Contra Costa,Q1,0-17,240054,145772,12660,158464,81590
Contra Costa,Q1,18-49,472447,420053,29232,449292,23155
Contra Costa,Q1,50-64,238890,210553,10643,221196,17694
Contra Costa,Q1,65+,208116,198543,11198,209741,0
Contra Costa,Q2,0-17,240054,147640,12601,160272,79782
Contra Costa,Q2,18-49,472447,420475,29966,450448,21999
Contra Costa,Q2,50-64,238890,210631,10981,221612,17278
Contra Costa,Q2,65+,208116,198588,11602,210190,0
Contra Costa,Q3,0-17,240054,148182,13158,161371,78683
Contra Costa,Q3,18-49,472447,420531,30509,451047,21400
Contra Costa,Q3,50-64,238890,210638,11143,221781,17109
Contra Costa,Q3,65+,208116,198593,11907,210500,0
Contra Costa,Q4,0-17,240054,148387,13651,162069,77985
Contra Costa,Q4,18-49,472447,420532,30800,451339,21108
Contra Costa,Q4,50-64,238890,210638,11223,221861,17029
Contra Costa,Q4,65+,208116,198593,12036,210629,0
Del Norte,Q1,0-17,4099,1038,197,1236,2863
Del Norte,Q1,18-49,11404,4832,729,5562,5842
Del Norte,Q1,50-64,4812,3451,360,3811,1001
Del Norte,Q1,65+,5180,4316,431,4747,433
Del Norte,Q2,0-17,4099,1047,197,1245,2854
Del Norte,Q2,18-49,11404,4848,740,5589,5815
Del Norte,Q2,50-64,4812,3453,361,3814,998
Del Norte,Q2,65+,5180,4319,431,4750,430
Del Norte,Q3,0-17,4099,1047,199,1247,2852
Del Norte,Q3,18-49,11404,4849,750,5600,5804
Del Norte,Q3,50-64,4812,3453,361,3814,998
Del Norte,Q3,65+,5180,4319,434,4753,427
Del Norte,Q4,0-17,4099,1047,202,1250,2849
Del Norte,Q4,18-49,11404,4849,752,5602,5802
Del Norte,Q4,50-64,4812,3453,362,3815,997
Del Norte,Q4,65+,5180,4319,436,4755,425
El Dorado,Q1,0-17,35233,11596,1381,12981,22252
El Dorado,Q1,18-49,70153,40034,4905,44940,25213
El Dorado,Q1,50-64,39866,30864,2560,33424,6442
El Dorado,Q1,65+,43837,37648,2839,40487,3350
El Dorado,Q2,0-17,35233,11673,1374,13051,22182
El Dorado,Q2,18-49,70153,40080,4981,45062,25091
El Dorado,Q2,50-64,39866,30874,2626,33500,6366
El Dorado,Q2,65+,43837,37654,2906,40560,3277
El Dorado,Q3,0-17,35233,11696,1387,13087,22146
El Dorado,Q3,18-49,70153,40087,5008,45096,25057
El Dorado,Q3,50-64,39866,30875,2645,33520,6346
El Dorado,Q3,65+,43837,37655,2934,40589,3248
El Dorado,Q4,0-17,35233,11707,1393,13104,22129
El Dorado,Q4,18-49,70153,40087,5031,45119,25034
El Dorado,Q4,50-64,39866,30875,2649,33524,6342
El Dorado,Q4,65+,43837,37655,2949,40604,3233
Fresno,Q1,0-17,279298,85206,10881,96119,183179
Fresno,Q1,18-49,448747,299021,32832,331865,116882
Fresno,Q1,50-64,158315,127587,11233,138820,19495
Fresno,Q1,65+,135289,117218,10794,128012,7277
Fresno,Q2,0-17,279298,85894,10979,96905,182393
Fresno,Q2,18-49,448747,299629,33308,332949,115798
Fresno,Q2,50-64,158315,127671,11467,139138,19177
Fresno,Q2,65+,135289,117251,11155,128406,6883
Fresno,Q3,0-17,279298,86030,11120,97182,182116
Fresno,Q3,18-49,448747,299714,33756,333482,115265
Fresno,Q3,50-64,158315,127679,11574,139253,19062
Fresno,Q3,65+,135289,117257,11292,128549,6740
Fresno,Q4,0-17,279298,86067,11266,97365,181933
Fresno,Q4,18-49,448747,299716,33996,333724,115023
Fresno,Q4,50-64,158315,127680,11619,139299,19016
Fresno,Q4,65+,135289,117257,11365,128622,6667
Glenn,Q1,0-17,5401,1822,178,2001,3400
Glenn,Q1,18-49,12107,6347,637,6984,5123
Glenn,Q1,50-64,4874,3684,298,3982,892
Glenn,Q1,65+,4937,4100,323,4423,514
Glenn,Q2,0-17,5401,1831,178,2010,3391
Glenn,Q2,18-49,12107,6360,644,7004,5103
Glenn,Q2,50-64,4874,3685,303,3988,886
Glenn,Q2,65+,4937,4101,329,4430,507
Glenn,Q3,0-17,5401,1832,180,2013,3388
Glenn,Q3,18-49,12107,6363,654,7017,5090
Glenn,Q3,50-64,4874,3686,302,3988,886
Glenn,Q3,65+,4937,4101,330,4431,506
Glenn,Q4,0-17,5401,1832,184,2017,3384
Glenn,Q4,18-49,12107,6363,657,7020,5087
Glenn,Q4,50-64,4874,3686,304,3990,884
Glenn,Q4,65+,4937,4101,330,4431,506
Humboldt,Q1,0-17,27446,9624,1286,10913,16533
Humboldt,Q1,18-49,57739,40518,4407,44926,12813
Humboldt,Q1,50-64,23089,18338,1335,19673,3416
Humboldt,Q1,65+,25940,23809,1647,25456,484
Humboldt,Q2,0-17,27446,9746,1329,11078,16368
Humboldt,Q2,18-49,57739,40577,4491,45069,12670
Humboldt,Q2,50-64,23089,18353,1361,19714,3375
Humboldt,Q2,65+,25940,23813,1710,25523,417
Humboldt,Q3,0-17,27446,9775,1420,11198,16248
Humboldt,Q3,18-49,57739,40586,4542,45129,12610
Humboldt,Q3,50-64,23089,18354,1377,19731,3358
Humboldt,Q3,65+,25940,23815,1735,25550,390
Humboldt,Q4,0-17,27446,9792,1454,11249,16197
Humboldt,Q4,18-49,57739,40586,4572,45159,12580
Humboldt,Q4,50-64,23089,18354,1387,19741,3348
Humboldt,Q4,65+,25940,23816,1752,25568,372
Imperial,Q1,0-17,53418,38669,15302,54126,11051
Imperial,Q1,18-49,81347,80691,42760,123455,0
Imperial,Q1,50-64,30092,34199,13905,48104,0
Imperial,Q1,65+,26762,27194,9270,36464,0
Imperial,Q2,0-17,53418,39099,15763,55027,10609
Imperial,Q2,18-49,81347,80828,45377,126209,0
