county,quarter,susceptible,cum_fully_vax,total_partial_vax,cum_atleast_one_dose,cum_unvax,percent_unvax,percent_fully_vax
Alameda,Q1,5035002,4123727,332062,4456041,578961,11.498724330198876,81.90119884758735
Alameda,Q2,5035002,4137250,339962,4477470,557532,11.0731237048168,82.1697786813193
Alameda,Q3,5035002,4140767,348334,4489359,545643,10.836996688382646,82.23962969627419
Alameda,Q4,5035002,4141937,353005,4495200,539802,10.720988790073967,82.26286702567349
Alpine,Q1,2865,1548,165,1713,1152,40.20942408376963,54.03141361256545
Alpine,Q2,2865,1548,168,1716,1149,40.10471204188482,54.03141361256545
Alpine,Q3,2865,1548,168,1716,1149,40.10471204188482,54.03141361256545
Alpine,Q4,1732,955,98,1053,679,39.20323325635104,55.13856812933026
Amador,Q1,112393,64233,5212,69445,42948,38.21234418513608,57.15035633891791
Amador,Q2,112393,64287,5269,69556,42837,38.1135835861664,57.19840203571397
Amador,Q3,112393,64289,5350,69639,42754,38.039735570720595,57.20018150596567
Amador,Q4,112393,64289,5376,69665,42728,38.016602457448414,57.20018150596567
Butte,Q1,680730,349852,31482,381349,299381,43.97940446285605,51.39365093355662
Butte,Q2,680730,350491,31948,382454,298276,43.81707872431066,51.48752074978332
Butte,Q3,680730,350578,32284,382877,297853,43.75493955018877,51.500301147297755
Butte,Q4,680730,350610,32451,383076,297654,43.72570622713851,51.50500198316513
Calaveras,Q1,130415,71445,5522,76967,53448,40.98301575738987,54.78280872599011
Calaveras,Q2,130415,71483,5565,77048,53367,40.92090633746118,54.811946478549245
Calaveras,Q3,130415,71499,5623,77122,53293,40.86416439826707,54.82421500594257
Calaveras,Q4,130415,71499,5638,77137,53278,40.85266265383583,54.82421500594257
Colusa,Q1,64674,37785,3352,41142,23532,36.385564523610725,58.423786993227566
Colusa,Q2,64674,37818,3428,41251,23423,36.217026935089834,58.474812134706376
Colusa,Q3,64674,37821,3447,41273,23401,36.18301017410397,58.47945078393172
Colusa,Q4,64674,37821,3462,41288,23386,36.15981692797724,58.47945078393172
Contra Costa,Q1,3478521,2849704,179148,3028963,451867,12.990204745062629,81.92286319386889
Contra Costa,Q2,3478521,2856506,183197,3039812,441503,12.69226202745362,82.11840606970607
Contra Costa,Q3,3478521,2858236,187537,3045882,435763,12.527249368337865,82.16813985024095
Contra Costa,Q4,3478521,2858833,190320,3049262,432518,12.433962595022424,82.18530231670299
Del Norte,Q1,79148,40045,4915,44966,34182,43.18744630312832,50.595087683832816
Del Norte,Q2,79148,40137,4954,45097,34051,43.02193359276292,50.711325617829885
Del Norte,Q3,79148,40142,5012,45160,33988,42.94233587709102,50.717642896851466
Del Norte,Q4,79148,40142,5036,45184,33964,42.91201293778744,50.717642896851466
El Dorado,Q1,567267,353982,33469,387466,179925,31.71786830540116,62.401303090079274
El Dorado,Q2,567267,354388,34044,388447,178946,31.545286434782916,62.47287432549399
El Dorado,Q3,567267,354480,34294,388789,178606,31.485349932218863,62.4890924379525
El Dorado,Q4,567267,354511,34433,388959,178437,31.455557964767916,62.494557236715686
Fresno,Q1,3064947,1834553,186246,2020929,1044018,34.06316650826262,59.85594530672146
Fresno,Q2,3064947,1838623,189521,2028274,1036673,33.82352125501681,59.988737162502325
Fresno,Q3,3064947,1839300,191887,2031317,1033630,33.724237319601286,60.01082563581034
Fresno,Q4,3064947,1839413,193335,2032878,1032069,33.673306585725626,60.01451248586028
Glenn,Q1,85482,45759,3958,49719,35763,41.83687793921527,53.53056783884327
Glenn,Q2,85482,45843,4000,49845,35637,41.68947848669895,53.62883414052081
Glenn,Q3,85482,45861,4039,49902,35580,41.62279778198919,53.649891205166
Glenn,Q4,85482,45863,4065,49930,35552,41.590042348096674,53.65223087901546
Humboldt,Q1,402642,272219,24700,296931,105711,26.254340083746857,67.60819785317975
Humboldt,Q2,402642,272801,25307,298120,104522,25.959040537251457,67.75274313161567
Humboldt,Q3,402642,272918,25831,298761,103881,25.79984204330398,67.78180120305383
Humboldt,Q4,402642,272970,26085,299067,103575,25.723844010311893,67.79471590147078
Imperial,Q1,574857,513345,206954,720764,17310,3.011183650890569,89.29959972654069
Imperial,Q2,574857,515078,215457,731027,16807,2.923683629146031,89.60106600424106
Imperial,Q3,574857,515616,225167,741278,16459,2.8631468347780404,89.69465449668353
Imperial,Q4,574857,515847,232073,748415,16223,2.822093146643426,89.73483840328986
Inyo,Q1,53511,34536,3141,37677,15834,29.59017772046869,64.5400011212648
Inyo,Q2,53511,34563,3184,37747,15764,29.459363495356097,64.59045803666535
Inyo,Q3,53511,34568,3232,37800,15711,29.360318439199418,64.59980190988769
Inyo,Q4,53511,34568,3247,37815,15696,29.33228681953243,64.59980190988769
Kern,Q1,2761953,1442470,160306,1602887,1159259,41.972437619322264,52.226449907004216
Kern,Q2,2761953,1445269,162475,1607855,1154297,41.79278213640855,52.32779124047367
Kern,Q3,2761953,1445607,164223,1609941,1152212,41.71729207557116,52.3400289577701
Kern,Q4,2761953,1445657,165424,1611192,1150963,41.672070451597115,52.34183927097963
Kings,Q1,453392,208154,26547,234719,218673,48.23044958887673,45.91038218583478
Kings,Q2,453392,208617,26844,235479,217913,48.06282422274764,46.01250132335815
Kings,Q3,453392,208667,27238,235923,217469,47.964895719377495,46.02352930797191
Kings,Q4,453392,208672,27431,236121,217271,47.92122490030702,46.02463210643328
Lake,Q1,188773,106519,12452,118976,69797,36.9740376007162,56.42703140809332
Lake,Q2,188773,106627,12684,119316,69457,36.793927097625186,56.4842429796634
Lake,Q3,188773,106647,12851,119503,69270,36.694866320925136,56.49483771513935
Lake,Q4,188773,106653,12908,119566,69207,36.661492904175915,56.49801613578212
Lassen,Q1,85156,25599,2764,28363,56793,66.69289304335572,30.061299262529943
Lassen,Q2,85156,25629,2800,28429,56727,66.61538822866268,30.09652872375405
Lassen,Q3,85156,25631,2832,28463,56693,66.57546150594203,30.098877354502324
Lassen,Q4,85156,25631,2843,28474,56682,66.56254403682654,30.098877354502324
Los Angeles,Q1,30595167,21792486,2302524,24096262,6505251,21.26234839639869,71.22852442675016
